,id,location,fault_severity,event_type,severity_type,log_feature,volume,resource_type
120,10390,location 1052,1,event_type 15,severity_type 1,feature 82,12,resource_type 8
121,5056,location 122,0,event_type 34,severity_type 2,feature 313,3,resource_type 2
122,10503,location 157,0,event_type 35,severity_type 2,feature 232,1,resource_type 2
123,1835,location 802,1,event_type 18,severity_type 1,feature 68,3,resource_type 8
124,10085,location 242,0,event_type 34,severity_type 2,feature 314,71,resource_type 2
125,13807,location 893,0,event_type 43,severity_type 1,feature 376,30,resource_type 2
126,11318,location 457,0,event_type 35,severity_type 2,feature 233,35,resource_type 2
127,533,location 99,0,event_type 35,severity_type 4,feature 312,1,resource_type 2
128,10538,location 839,1,event_type 11,severity_type 1,feature 54,49,resource_type 8
129,11549,location 719,0,event_type 20,severity_type 1,feature 134,1,resource_type 2
130,16900,location 793,0,event_type 11,severity_type 1,feature 195,2,resource_type 8
131,599,location 1109,0,event_type 20,severity_type 1,feature 134,1,resource_type 2
132,11700,location 648,0,event_type 11,severity_type 1,feature 54,3,resource_type 4
133,18331,location 957,0,event_type 11,severity_type 2,feature 171,1,resource_type 8
134,5381,location 600,2,event_type 15,severity_type 2,feature 203,8,resource_type 8
135,13638,location 665,0,event_type 11,severity_type 1,feature 55,16,resource_type 8
136,2703,location 846,0,event_type 15,severity_type 2,feature 82,2,resource_type 8
137,13686,location 1107,0,event_type 15,severity_type 2,feature 193,1,resource_type 8
138,6240,location 1052,2,event_type 15,severity_type 1,feature 203,4,resource_type 2
139,8546,location 1107,0,event_type 11,severity_type 1,feature 71,15,resource_type 8
140,4578,location 948,0,event_type 11,severity_type 2,feature 170,1,resource_type 8
141,15870,location 646,0,event_type 11,severity_type 1,feature 203,10,resource_type 8
142,17084,location 302,0,event_type 35,severity_type 4,feature 301,1,resource_type 2
143,4114,location 273,0,event_type 11,severity_type 1,feature 68,1,resource_type 8
144,8011,location 1,0,event_type 15,severity_type 2,feature 68,7,resource_type 8
145,6588,location 124,0,event_type 35,severity_type 2,feature 315,3,resource_type 2
146,12490,location 704,2,event_type 11,severity_type 1,feature 71,1,resource_type 8
147,3975,location 476,0,event_type 35,severity_type 2,feature 312,5,resource_type 2
148,4720,location 152,0,event_type 35,severity_type 2,feature 312,3,resource_type 2
149,15209,location 734,0,event_type 15,severity_type 1,feature 193,4,resource_type 8
150,6092,location 1076,1,event_type 15,severity_type 2,feature 56,1,resource_type 8
151,9426,location 798,0,event_type 11,severity_type 1,feature 203,12,resource_type 8
152,2307,location 520,0,event_type 34,severity_type 2,feature 312,12,resource_type 2
153,13291,location 1046,0,event_type 11,severity_type 1,feature 345,2,resource_type 8
154,17245,location 803,1,event_type 11,severity_type 2,feature 68,1,resource_type 8
155,11726,location 963,0,event_type 11,severity_type 1,feature 195,129,resource_type 8
156,15486,location 821,0,event_type 15,severity_type 1,feature 193,1,resource_type 8
157,9033,location 1061,2,event_type 11,severity_type 1,feature 80,4,resource_type 8
158,9959,location 714,0,event_type 11,severity_type 1,feature 68,4,resource_type 8
159,3798,location 242,0,event_type 35,severity_type 2,feature 314,13,resource_type 2
160,15624,location 613,1,event_type 11,severity_type 1,feature 193,5,resource_type 8
161,5995,location 91,0,event_type 35,severity_type 2,feature 314,1,resource_type 2
162,9644,location 1007,0,event_type 11,severity_type 1,feature 201,3,resource_type 8
163,10779,location 300,0,event_type 34,severity_type 2,feature 312,13,resource_type 2
164,9734,location 272,1,event_type 34,severity_type 2,feature 312,1,resource_type 2
165,14954,location 1106,1,event_type 11,severity_type 1,feature 54,13,resource_type 8
166,15493,location 611,0,event_type 20,severity_type 1,feature 134,2,resource_type 2
167,6222,location 724,1,event_type 11,severity_type 1,feature 68,1,resource_type 8
168,17390,location 173,1,event_type 34,severity_type 2,feature 233,1,resource_type 2
169,6826,location 943,1,event_type 11,severity_type 1,feature 68,1,resource_type 8
170,8611,location 821,2,event_type 11,severity_type 1,feature 82,21,resource_type 8
171,9087,location 795,0,event_type 15,severity_type 2,feature 51,13,resource_type 8
172,17472,location 733,1,event_type 11,severity_type 1,feature 206,2,resource_type 8
173,12760,location 249,0,event_type 34,severity_type 2,feature 232,2,resource_type 2
174,4963,location 704,2,event_type 15,severity_type 2,feature 203,9,resource_type 8
175,6225,location 821,1,event_type 11,severity_type 1,feature 74,1,resource_type 8
176,7959,location 802,0,event_type 13,severity_type 1,feature 345,2,resource_type 6
177,1773,location 957,1,event_type 54,severity_type 1,feature 202,2,resource_type 2
178,6136,location 408,1,event_type 34,severity_type 2,feature 315,2,resource_type 2
179,5965,location 723,1,event_type 11,severity_type 1,feature 209,2,resource_type 8
180,5390,location 255,0,event_type 35,severity_type 2,feature 312,4,resource_type 2
181,13663,location 655,2,event_type 11,severity_type 1,feature 158,14,resource_type 8
182,4501,location 888,0,event_type 20,severity_type 1,feature 134,2,resource_type 2
183,13442,location 704,1,event_type 15,severity_type 2,feature 82,8,resource_type 8
184,6958,location 989,0,event_type 11,severity_type 2,feature 68,1,resource_type 8
185,16339,location 1015,0,event_type 11,severity_type 1,feature 54,4,resource_type 8
186,9372,location 1019,0,event_type 15,severity_type 1,feature 196,22,resource_type 8
187,5576,location 692,1,event_type 11,severity_type 1,feature 170,1,resource_type 8
188,663,location 653,0,event_type 54,severity_type 1,feature 82,27,resource_type 2
189,1473,location 945,1,event_type 11,severity_type 1,feature 202,4,resource_type 8
190,949,location 651,0,event_type 11,severity_type 1,feature 83,1,resource_type 8
191,10513,location 1106,0,event_type 11,severity_type 1,feature 54,1,resource_type 8
192,14289,location 763,1,event_type 11,severity_type 1,feature 196,2,resource_type 8
193,15260,location 416,0,event_type 35,severity_type 4,feature 301,2,resource_type 2
194,9812,location 830,0,event_type 11,severity_type 1,feature 54,108,resource_type 8
195,4916,location 704,2,event_type 15,severity_type 2,feature 82,14,resource_type 8
196,17515,location 1024,2,event_type 11,severity_type 1,feature 42,7,resource_type 8
197,17388,location 497,0,event_type 35,severity_type 2,feature 232,2,resource_type 2
198,4450,location 890,0,event_type 11,severity_type 2,feature 73,3,resource_type 8
199,16258,location 849,0,event_type 11,severity_type 2,feature 109,13,resource_type 8
200,10528,location 208,0,event_type 20,severity_type 1,feature 219,1,resource_type 2
201,4003,location 255,1,event_type 34,severity_type 2,feature 312,3,resource_type 2
202,3954,location 139,1,event_type 20,severity_type 1,feature 313,1,resource_type 2
203,13945,location 914,1,event_type 23,severity_type 1,feature 306,1,resource_type 4
204,15607,location 326,0,event_type 21,severity_type 1,feature 135,2,resource_type 2
205,11897,location 937,0,event_type 11,severity_type 1,feature 204,2,resource_type 8
206,12609,location 1086,0,event_type 15,severity_type 2,feature 82,10,resource_type 8
207,10122,location 506,0,event_type 35,severity_type 2,feature 313,6,resource_type 2
208,7886,location 149,0,event_type 35,severity_type 4,feature 307,1,resource_type 2
209,15771,location 846,0,event_type 15,severity_type 2,feature 82,8,resource_type 8
210,17681,location 865,0,event_type 11,severity_type 1,feature 54,2,resource_type 8
211,15863,location 925,2,event_type 11,severity_type 1,feature 170,12,resource_type 8
212,17690,location 798,1,event_type 15,severity_type 2,feature 203,5,resource_type 8
213,8606,location 243,0,event_type 34,severity_type 2,feature 234,63,resource_type 2
214,11362,location 193,0,event_type 35,severity_type 2,feature 314,1,resource_type 2
215,4604,location 723,0,event_type 11,severity_type 1,feature 87,1,resource_type 8
216,5480,location 471,0,event_type 34,severity_type 2,feature 233,2,resource_type 2
217,12277,location 1107,2,event_type 11,severity_type 1,feature 82,129,resource_type 8
218,1400,location 375,0,event_type 34,severity_type 2,feature 313,5,resource_type 2
219,6687,location 91,0,event_type 35,severity_type 2,feature 235,289,resource_type 2
220,11153,location 1047,0,event_type 11,severity_type 2,feature 55,2,resource_type 8
221,8313,location 798,2,event_type 15,severity_type 2,feature 82,37,resource_type 8
222,5787,location 490,0,event_type 35,severity_type 2,feature 312,1,resource_type 2
223,741,location 1051,0,event_type 11,severity_type 1,feature 207,1,resource_type 8
224,16502,location 763,0,event_type 15,severity_type 2,feature 82,12,resource_type 8
225,4036,location 896,0,event_type 42,severity_type 1,feature 375,8,resource_type 2
226,5029,location 1011,0,event_type 20,severity_type 1,feature 134,1,resource_type 2
227,18158,location 834,1,event_type 15,severity_type 2,feature 203,4,resource_type 8
228,18441,location 118,0,event_type 35,severity_type 2,feature 312,16,resource_type 2
229,4268,location 97,0,event_type 35,severity_type 4,feature 312,2,resource_type 2
230,4092,location 1019,0,event_type 15,severity_type 1,feature 82,12,resource_type 8
231,16819,location 226,0,event_type 35,severity_type 4,feature 312,1,resource_type 2
232,7774,location 962,2,event_type 15,severity_type 2,feature 203,4,resource_type 8
233,5824,location 885,0,event_type 11,severity_type 2,feature 70,1,resource_type 8
234,7295,location 821,1,event_type 11,severity_type 1,feature 193,1,resource_type 8
235,18146,location 812,0,event_type 11,severity_type 1,feature 18,2,resource_type 8
236,17409,location 816,2,event_type 13,severity_type 1,feature 170,154,resource_type 8
237,6095,location 638,0,event_type 42,severity_type 4,feature 376,4,resource_type 2
238,9032,location 945,0,event_type 11,severity_type 1,feature 191,6,resource_type 8
239,5210,location 468,0,event_type 34,severity_type 2,feature 312,12,resource_type 2
240,11177,location 380,0,event_type 35,severity_type 2,feature 312,3,resource_type 2
241,12324,location 1109,1,event_type 11,severity_type 1,feature 273,2,resource_type 8
242,1697,location 1122,0,event_type 20,severity_type 1,feature 219,1,resource_type 2
243,3106,location 1098,1,event_type 11,severity_type 2,feature 207,1,resource_type 8
244,7824,location 376,0,event_type 34,severity_type 1,feature 221,1,resource_type 2
245,2588,location 1,0,event_type 15,severity_type 1,feature 82,9,resource_type 8
246,13644,location 303,0,event_type 35,severity_type 4,feature 312,1,resource_type 2
247,13082,location 126,0,event_type 34,severity_type 2,feature 227,6,resource_type 2
248,8150,location 520,0,event_type 35,severity_type 2,feature 232,9,resource_type 2
249,6234,location 734,0,event_type 11,severity_type 1,feature 71,5,resource_type 8
250,10350,location 507,0,event_type 35,severity_type 2,feature 312,27,resource_type 2
251,13538,location 709,0,event_type 11,severity_type 1,feature 73,2,resource_type 8
252,2338,location 466,0,event_type 35,severity_type 2,feature 234,2,resource_type 2
253,17947,location 466,0,event_type 35,severity_type 2,feature 228,2,resource_type 2
254,9786,location 12,0,event_type 15,severity_type 2,feature 178,1,resource_type 8
255,9514,location 1102,0,event_type 11,severity_type 2,feature 65,2,resource_type 8
256,13670,location 998,0,event_type 11,severity_type 2,feature 54,1,resource_type 8
257,15482,location 727,0,event_type 11,severity_type 1,feature 209,1,resource_type 8
258,12517,location 76,1,event_type 11,severity_type 1,feature 171,2,resource_type 8
259,411,location 734,1,event_type 11,severity_type 1,feature 80,3,resource_type 8
260,10237,location 830,0,event_type 11,severity_type 1,feature 170,31,resource_type 8
261,12734,location 798,0,event_type 11,severity_type 1,feature 203,6,resource_type 8
262,10863,location 309,0,event_type 34,severity_type 2,feature 232,2,resource_type 2
263,11390,location 737,0,event_type 11,severity_type 2,feature 42,2,resource_type 8
264,5260,location 1111,0,event_type 11,severity_type 1,feature 207,1,resource_type 8
265,8244,location 314,1,event_type 34,severity_type 2,feature 313,2,resource_type 2
266,4161,location 1023,1,event_type 29,severity_type 1,feature 217,1,resource_type 9
267,16354,location 658,0,event_type 11,severity_type 1,feature 161,1,resource_type 8
268,15236,location 477,0,event_type 35,severity_type 2,feature 234,36,resource_type 2
269,14877,location 990,0,event_type 11,severity_type 1,feature 170,4,resource_type 8
270,4810,location 445,0,event_type 35,severity_type 2,feature 312,9,resource_type 2
271,4637,location 618,0,event_type 23,severity_type 4,feature 306,2,resource_type 7
272,14124,location 758,1,event_type 11,severity_type 1,feature 68,1,resource_type 8
273,4737,location 488,0,event_type 34,severity_type 2,feature 234,2,resource_type 2
274,5377,location 643,1,event_type 42,severity_type 1,feature 368,2,resource_type 2
275,14696,location 834,0,event_type 15,severity_type 2,feature 82,24,resource_type 8
276,2880,location 607,1,event_type 40,severity_type 1,feature 68,3,resource_type 4
277,17021,location 141,0,event_type 35,severity_type 4,feature 307,1,resource_type 2
278,11043,location 497,0,event_type 35,severity_type 2,feature 313,27,resource_type 2
279,6,location 332,1,event_type 34,severity_type 2,feature 227,1,resource_type 2
280,2380,location 821,1,event_type 54,severity_type 1,feature 82,13,resource_type 8
281,6563,location 794,0,event_type 14,severity_type 1,feature 306,1,resource_type 7
282,2273,location 814,0,event_type 11,severity_type 1,feature 70,15,resource_type 8
283,1743,location 794,1,event_type 23,severity_type 1,feature 223,1,resource_type 4
284,12919,location 921,2,event_type 15,severity_type 2,feature 82,4,resource_type 8
285,7922,location 742,0,event_type 54,severity_type 1,feature 201,1,resource_type 2
286,8201,location 897,0,event_type 50,severity_type 4,feature 374,2,resource_type 2
287,13659,location 466,0,event_type 35,severity_type 2,feature 307,3,resource_type 2
288,2861,location 1107,0,event_type 11,severity_type 1,feature 193,1,resource_type 8
289,17883,location 744,2,event_type 13,severity_type 1,feature 54,13,resource_type 8
290,17057,location 122,0,event_type 34,severity_type 2,feature 232,1,resource_type 2
291,12316,location 240,0,event_type 35,severity_type 2,feature 227,2,resource_type 2
292,12541,location 691,0,event_type 23,severity_type 1,feature 134,1,resource_type 8
293,363,location 809,0,event_type 11,severity_type 1,feature 71,5,resource_type 8
294,4166,location 549,1,event_type 39,severity_type 1,feature 171,4,resource_type 8
295,8354,location 810,0,event_type 15,severity_type 2,feature 193,1,resource_type 8
296,9160,location 1089,1,event_type 11,severity_type 1,feature 170,7,resource_type 8
297,1476,location 266,0,event_type 35,severity_type 4,feature 312,2,resource_type 2
298,8193,location 1010,1,event_type 11,severity_type 1,feature 195,5,resource_type 8
299,12708,location 1094,1,event_type 11,severity_type 1,feature 74,2,resource_type 8
300,13410,location 345,0,event_type 11,severity_type 2,feature 44,1,resource_type 2
301,12066,location 501,0,event_type 35,severity_type 2,feature 315,2,resource_type 2
302,8570,location 939,0,event_type 11,severity_type 1,feature 193,1,resource_type 8
303,4204,location 957,0,event_type 11,severity_type 1,feature 55,2,resource_type 8
304,18290,location 373,0,event_type 34,severity_type 2,feature 232,69,resource_type 2
305,11441,location 684,2,event_type 15,severity_type 2,feature 203,4,resource_type 8
306,17975,location 1094,1,event_type 11,severity_type 1,feature 66,1,resource_type 8
307,11262,location 821,0,event_type 15,severity_type 2,feature 82,14,resource_type 8
308,3768,location 823,0,event_type 11,severity_type 1,feature 71,5,resource_type 8
309,11418,location 244,0,event_type 35,severity_type 2,feature 232,52,resource_type 2
310,13813,location 857,1,event_type 11,severity_type 1,feature 204,2,resource_type 8
311,1665,location 846,1,event_type 15,severity_type 2,feature 82,17,resource_type 8
312,4170,location 1065,0,event_type 20,severity_type 1,feature 134,1,resource_type 2
313,12798,location 1008,0,event_type 15,severity_type 2,feature 82,18,resource_type 8
314,681,location 1099,0,event_type 11,severity_type 1,feature 70,5,resource_type 8
315,319,location 1099,0,event_type 11,severity_type 1,feature 202,2,resource_type 8
316,17956,location 300,0,event_type 34,severity_type 2,feature 313,8,resource_type 2
317,429,location 793,0,event_type 11,severity_type 1,feature 195,37,resource_type 8
318,6663,location 906,1,event_type 11,severity_type 1,feature 202,4,resource_type 8
319,10586,location 404,1,event_type 35,severity_type 1,feature 219,1,resource_type 2
320,8583,location 1117,0,event_type 11,severity_type 1,feature 55,3,resource_type 8
321,8030,location 461,0,event_type 35,severity_type 2,feature 312,3,resource_type 2
322,5099,location 95,0,event_type 35,severity_type 2,feature 230,6,resource_type 2
323,446,location 1056,1,event_type 11,severity_type 1,feature 170,1,resource_type 6
324,5725,location 995,1,event_type 15,severity_type 2,feature 203,2,resource_type 8
325,15436,location 893,0,event_type 42,severity_type 1,feature 368,10,resource_type 2
326,6758,location 500,0,event_type 35,severity_type 2,feature 315,1,resource_type 2
327,6449,location 122,0,event_type 35,severity_type 2,feature 313,5,resource_type 2
328,4552,location 613,1,event_type 54,severity_type 1,feature 203,4,resource_type 8
329,17865,location 846,0,event_type 15,severity_type 2,feature 203,11,resource_type 8
330,1645,location 653,1,event_type 15,severity_type 2,feature 203,2,resource_type 8
331,1308,location 100,0,event_type 34,severity_type 2,feature 230,1,resource_type 2
332,8781,location 311,1,event_type 34,severity_type 2,feature 312,7,resource_type 2
333,831,location 126,0,event_type 34,severity_type 2,feature 313,3,resource_type 2
334,15145,location 1107,0,event_type 15,severity_type 2,feature 71,1,resource_type 8
335,17654,location 477,0,event_type 34,severity_type 1,feature 211,1,resource_type 8
336,603,location 507,0,event_type 35,severity_type 2,feature 229,2,resource_type 2
337,5962,location 390,0,event_type 35,severity_type 2,feature 315,1,resource_type 2
338,11520,location 756,0,event_type 11,severity_type 1,feature 68,1,resource_type 8
339,10341,location 90,0,event_type 34,severity_type 2,feature 232,4,resource_type 2
340,5070,location 684,0,event_type 15,severity_type 1,feature 203,14,resource_type 8
341,1197,location 479,0,event_type 34,severity_type 2,feature 314,10,resource_type 2
342,6187,location 734,1,event_type 11,severity_type 1,feature 74,1,resource_type 8
343,733,location 1106,0,event_type 11,severity_type 1,feature 54,16,resource_type 8
344,2242,location 124,0,event_type 34,severity_type 2,feature 307,2,resource_type 2
345,479,location 1025,0,event_type 11,severity_type 1,feature 188,1,resource_type 8
346,12362,location 473,0,event_type 35,severity_type 2,feature 315,4,resource_type 2
347,14596,location 314,0,event_type 35,severity_type 2,feature 313,1,resource_type 2
348,6801,location 1107,1,event_type 11,severity_type 1,feature 203,7,resource_type 8
349,4896,location 249,1,event_type 11,severity_type 1,feature 160,3,resource_type 8
350,3287,location 613,1,event_type 11,severity_type 1,feature 203,4,resource_type 8
351,8377,location 161,1,event_type 34,severity_type 2,feature 312,2,resource_type 2
352,14233,location 1029,0,event_type 11,severity_type 1,feature 171,2,resource_type 8
353,5065,location 711,0,event_type 11,severity_type 1,feature 172,2,resource_type 8
354,6233,location 375,0,event_type 35,severity_type 2,feature 313,50,resource_type 2
355,4160,location 97,0,event_type 20,severity_type 1,feature 219,1,resource_type 2
356,16840,location 244,0,event_type 34,severity_type 2,feature 232,31,resource_type 2
357,18192,location 1054,0,event_type 11,severity_type 1,feature 73,2,resource_type 8
358,7711,location 974,0,event_type 11,severity_type 2,feature 209,2,resource_type 8
359,7254,location 810,1,event_type 15,severity_type 1,feature 193,1,resource_type 8
360,3214,location 734,0,event_type 15,severity_type 1,feature 82,4,resource_type 8
361,14597,location 1115,1,event_type 11,severity_type 1,feature 73,1,resource_type 8
362,15086,location 867,2,event_type 11,severity_type 1,feature 204,2,resource_type 8
363,8686,location 326,0,event_type 21,severity_type 1,feature 308,1,resource_type 2
364,16989,location 931,2,event_type 20,severity_type 1,feature 203,3,resource_type 1
